# event_ticker=KXATPMATCH-26APR05RUBBOR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Andrey Rublev
# fav_player=Nuno Borges
# dog_player=Andrey Rublev
# kalshi_date=2026-04-05
timestamp,Nuno Borges,Andrey Rublev
2026-04-06T10:02:00Z,14.97,87.00
2026-04-06T10:03:00Z,13.00,88.76
2026-04-06T10:04:00Z,12.94,88.63
2026-04-06T10:05:00Z,11.94,88.03
2026-04-06T10:06:00Z,12.51,88.88
2026-04-06T10:07:00Z,12.96,88.88
2026-04-06T10:08:00Z,13.63,87.00
2026-04-06T10:09:00Z,15.98,85.96
2026-04-06T10:10:00Z,14.02,86.29
2026-04-06T10:11:00Z,19.12,77.45
2026-04-06T10:12:00Z,25.55,74.09
2026-04-06T10:13:00Z,26.93,76.01
2026-04-06T10:14:00Z,27.14,73.10
2026-04-06T10:15:00Z,28.33,70.95
2026-04-06T10:16:00Z,29.66,71.66
2026-04-06T10:17:00Z,31.65,69.42
2026-04-06T10:18:00Z,30.02,70.11
2026-04-06T10:19:00Z,43.07,62.61
2026-04-06T10:20:00Z,39.56,60.77
2026-04-06T10:21:00Z,40.58,58.40
2026-04-06T10:22:00Z,41.31,58.81
2026-04-06T10:23:00Z,40.72,59.73
2026-04-06T10:24:00Z,40.09,60.40
2026-04-06T10:25:00Z,41.53,63.55
2026-04-06T10:26:00Z,35.10,66.81
2026-04-06T10:27:00Z,34.15,66.18
2026-04-06T10:28:00Z,34.66,65.80
2026-04-06T10:29:00Z,38.75,63.12
2026-04-06T10:30:00Z,44.02,57.69
2026-04-06T10:31:00Z,45.03,56.93
2026-04-06T10:32:00Z,46.40,54.02
2026-04-06T10:33:00Z,39.78,62.75
2026-04-06T10:34:00Z,35.17,65.74
2026-04-06T10:35:00Z,34.99,66.19
2026-04-06T10:36:00Z,30.14,69.43
2026-04-06T10:37:00Z,18.84,76.50
2026-04-06T10:38:00Z,17.71,84.63
2026-04-06T10:39:00Z,10.53,90.05
2026-04-06T10:40:00Z,7.28,92.68
2026-04-06T10:41:00Z,7.08,93.34
2026-04-06T10:42:00Z,7.00,93.76
2026-04-06T10:43:00Z,5.77,94.39
2026-04-06T10:44:00Z,4.60,94.66
2026-04-06T10:45:00Z,2.41,98.07
2026-04-06T10:46:00Z,1.02,99.00
2026-04-06T10:47:00Z,1.00,99.00
2026-04-06T10:48:00Z,1.00,99.00
2026-04-06T10:49:00Z,1.00,99.00
2026-04-06T10:50:00Z,1.00,99.00
2026-04-06T10:51:00Z,1.00,99.00
2026-04-06T10:52:00Z,1.00,99.00
