# event_ticker=KXATPMATCH-26MAY08COBATM
# final_score=7-6(1) 6-3
# score_resolution=6-7 3-6
# match_winner=Flavio Cobolli
# fav_player=Terence Atmane
# dog_player=Flavio Cobolli
# kalshi_date=2026-05-08
timestamp,Flavio Cobolli,Terence Atmane
2026-05-09T16:10:00Z,93.49,7.31
2026-05-09T16:11:00Z,92.61,8.18
2026-05-09T16:12:00Z,92.49,5.26
2026-05-09T16:13:00Z,92.18,7.89
2026-05-09T16:14:00Z,96.24,4.93
2026-05-09T16:15:00Z,96.31,3.51
2026-05-09T16:16:00Z,96.43,4.88
2026-05-09T16:17:00Z,95.42,5.25
2026-05-09T16:18:00Z,96.43,4.00
2026-05-09T16:19:00Z,96.37,3.92
2026-05-09T16:20:00Z,96.20,4.75
2026-05-09T16:21:00Z,97.96,2.10
2026-05-09T16:22:00Z,97.72,2.11
2026-05-09T16:23:00Z,98.00,2.28
2026-05-09T16:24:00Z,98.00,2.52
2026-05-09T16:25:00Z,97.01,3.00
2026-05-09T16:26:00Z,97.23,2.99
2026-05-09T16:27:00Z,97.97,3.27
2026-05-09T16:28:00Z,98.46,2.01
2026-05-09T16:29:00Z,98.10,1.80
2026-05-09T16:30:00Z,98.95,1.42
2026-05-09T16:31:00Z,98.06,1.55
2026-05-09T16:32:00Z,97.99,2.02
2026-05-09T16:33:00Z,97.64,2.40
2026-05-09T16:34:00Z,98.37,1.96
2026-05-09T16:35:00Z,98.95,1.44
2026-05-09T16:36:00Z,98.57,1.05
2026-05-09T16:37:00Z,99.00,1.08
2026-05-09T16:38:00Z,98.99,1.86
2026-05-09T16:39:00Z,98.93,1.47
2026-05-09T16:40:00Z,99.00,1.08
2026-05-09T16:41:00Z,99.00,1.00
2026-05-09T16:42:00Z,99.00,1.00
2026-05-09T16:43:00Z,99.00,1.00
2026-05-09T16:44:00Z,99.00,1.00
2026-05-09T16:45:00Z,99.00,1.00
2026-05-09T16:47:00Z,99.00,1.00
2026-05-09T16:48:00Z,99.00,1.00
2026-05-09T16:49:00Z,99.00,1.00
2026-05-09T16:50:00Z,99.00,1.00
2026-05-09T16:51:00Z,99.00,1.00
