# event_ticker=KXATPMATCH-26MAR12ALCNOR
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Carlos Alcaraz
# fav_player=Cameron Norrie
# dog_player=Carlos Alcaraz
# kalshi_date=2026-03-12
timestamp,Cameron Norrie,Carlos Alcaraz
2026-03-13T02:00:00Z,7.00,94.00
2026-03-13T02:01:00Z,7.00,94.00
2026-03-13T02:02:00Z,7.00,93.21
2026-03-13T02:03:00Z,7.00,94.00
2026-03-13T02:04:00Z,7.00,94.00
2026-03-13T02:05:00Z,7.00,94.00
2026-03-13T02:06:00Z,7.00,94.00
2026-03-13T02:07:00Z,7.00,93.99
2026-03-13T02:08:00Z,7.00,94.00
2026-03-13T02:09:00Z,7.00,94.00
2026-03-13T02:10:00Z,7.00,93.91
2026-03-13T02:11:00Z,7.00,94.00
2026-03-13T02:12:00Z,6.98,94.00
2026-03-13T02:13:00Z,7.00,93.93
2026-03-13T02:14:00Z,7.00,94.00
2026-03-13T02:15:00Z,7.00,94.00
2026-03-13T02:16:00Z,6.59,94.00
2026-03-13T02:17:00Z,5.99,95.00
2026-03-13T02:18:00Z,5.97,95.98
2026-03-13T02:19:00Z,4.90,96.37
2026-03-13T02:20:00Z,4.70,95.92
2026-03-13T02:21:00Z,5.85,94.18
2026-03-13T02:22:00Z,5.17,94.15
2026-03-13T02:23:00Z,5.93,95.75
2026-03-13T02:24:00Z,5.94,95.00
2026-03-13T02:25:00Z,5.94,95.01
2026-03-13T02:26:00Z,5.94,95.07
2026-03-13T02:27:00Z,5.43,95.00
2026-03-13T02:28:00Z,5.89,96.35
2026-03-13T02:29:00Z,6.01,94.12
2026-03-13T02:30:00Z,7.03,94.01
2026-03-13T02:31:00Z,5.70,95.00
2026-03-13T02:32:00Z,5.57,94.99
2026-03-13T02:33:00Z,6.58,95.00
2026-03-13T02:34:00Z,6.53,95.68
2026-03-13T02:35:00Z,4.25,96.26
2026-03-13T02:36:00Z,3.03,97.64
2026-03-13T02:37:00Z,4.57,95.63
2026-03-13T02:38:00Z,6.79,94.00
2026-03-13T02:39:00Z,6.99,93.94
2026-03-13T02:40:00Z,7.77,93.52
2026-03-13T02:41:00Z,8.97,92.09
2026-03-13T02:42:00Z,8.81,92.34
2026-03-13T02:43:00Z,7.89,93.98
2026-03-13T02:44:00Z,3.40,96.31
2026-03-13T02:45:00Z,2.46,97.88
2026-03-13T02:46:00Z,3.02,97.04
2026-03-13T02:47:00Z,2.84,97.91
2026-03-13T02:48:00Z,2.83,98.00
2026-03-13T02:49:00Z,2.74,98.00
2026-03-13T02:50:00Z,1.96,98.01
2026-03-13T02:51:00Z,2.93,97.30
2026-03-13T02:52:00Z,1.96,98.03
2026-03-13T02:53:00Z,2.90,98.00
2026-03-13T02:54:00Z,3.00,98.00
2026-03-13T02:55:00Z,2.98,98.00
2026-03-13T02:56:00Z,2.71,97.00
2026-03-13T02:57:00Z,4.00,97.17
2026-03-13T02:58:00Z,2.34,98.00
2026-03-13T02:59:00Z,3.65,96.02
2026-03-13T03:00:00Z,6.86,93.48
2026-03-13T03:01:00Z,8.07,93.46
2026-03-13T03:02:00Z,8.38,93.44
2026-03-13T03:03:00Z,7.98,93.00
2026-03-13T03:04:00Z,6.28,92.36
2026-03-13T03:05:00Z,5.20,94.37
2026-03-13T03:06:00Z,7.48,93.01
2026-03-13T03:07:00Z,4.61,95.45
2026-03-13T03:08:00Z,4.96,95.02
2026-03-13T03:09:00Z,3.44,96.97
2026-03-13T03:10:00Z,4.01,96.92
2026-03-13T03:11:00Z,4.02,96.92
2026-03-13T03:12:00Z,5.02,95.99
2026-03-13T03:13:00Z,5.18,95.00
2026-03-13T03:14:00Z,4.04,96.74
2026-03-13T03:15:00Z,3.01,97.20
2026-03-13T03:16:00Z,2.10,98.00
2026-03-13T03:17:00Z,1.11,98.90
2026-03-13T03:18:00Z,1.64,99.00
2026-03-13T03:19:00Z,1.75,99.00
2026-03-13T03:20:00Z,1.91,99.00
2026-03-13T03:21:00Z,1.00,99.00
2026-03-13T03:22:00Z,1.00,99.00
2026-03-13T03:23:00Z,1.00,99.00
2026-03-13T03:24:00Z,1.00,99.00
2026-03-13T03:25:00Z,1.00,99.00
2026-03-13T03:26:00Z,1.00,99.00
2026-03-13T03:27:00Z,1.00,99.00
2026-03-13T03:28:00Z,1.00,99.00
2026-03-13T03:29:00Z,1.00,99.00
2026-03-13T03:30:00Z,1.00,99.00
2026-03-13T03:31:00Z,1.03,99.00
2026-03-13T03:32:00Z,1.72,98.73
2026-03-13T03:33:00Z,1.00,99.00
2026-03-13T03:34:00Z,1.00,99.00
2026-03-13T03:35:00Z,1.00,99.00
2026-03-13T03:36:00Z,1.00,99.00
2026-03-13T03:37:00Z,1.00,99.00
2026-03-13T03:38:00Z,1.00,99.00
2026-03-13T03:39:00Z,1.00,99.00
2026-03-13T03:40:00Z,1.00,99.00
2026-03-13T03:41:00Z,1.00,99.00
2026-03-13T03:43:00Z,1.00,99.00
2026-03-13T03:44:00Z,1.00,99.00
2026-03-13T03:45:00Z,1.00,99.00
2026-03-13T03:46:00Z,1.00,99.00
2026-03-13T03:47:00Z,1.00,99.00
2026-03-13T03:48:00Z,1.00,99.00
2026-03-13T03:49:00Z,1.00,99.00
2026-03-13T03:50:00Z,1.00,99.00
2026-03-13T03:51:00Z,1.00,99.00
2026-03-13T03:52:00Z,1.00,99.00
